id,cloud provider,Total Ram,Total CPU,Total Disk Space (GB),Cpu Utilization,Network Latency (milliseconds),Cost per Day ($),Average IOPS,classification
cd277852-1bab-468f-b583-05e26ffd8b96,GCP,2,1,8,87.75,131,10.14,881,overutilized
7dfcfbfb-8750-4113-8540-ce1715453315,On-prem,1,1,8,96.18,77,6.52,824,overutilized
042ea84d-a4ce-4b99-8acd-afdef8330e51,On-prem,8,1,8,85.28,198,17.81,1051,overutilized
74cf8530-18d0-441d-a3db-89fd232782ed,GCP,32,16,16,77.12,67,101.6,1019,optimal
be66ff43-047f-467d-b4cd-c73d49365ec0,AWS,4,2,8,59.1,94,16.2,804,underutilized
d2f67154-cd90-4805-ad99-ba6988ab259e,GCP,4,1,8,63.22,50,14.15,770,optimal
3f41f281-9d34-4525-8aa9-5b2c5008c57b,On-prem,64,16,32,68.96,107,133.02,1292,optimal
e90938a4-da4a-47f3-8eaf-5cb028d1d9ed,GCP,16,8,16,80.11,109,53.04,1053,overutilized
b6ba9872-ee8c-4e6e-a789-657c65588143,AWS,4,2,8,92.22,78,16.23,696,overutilized
78b0d303-eb7c-48a8-9fe3-4fbf8acc12f9,On-prem,64,16,32,43.51,287,132.98,1436,overutilized
3e9afaeb-8b46-4929-98f6-32478aebd576,GCP,32,16,16,55.46,43,101.31,1299,underutilized
ea1c7604-8313-499a-9d62-e36bebcaeebd,GCP,32,16,16,44.31,76,101.15,1288,underutilized
9a6b7934-7f5f-4ef5-99e3-901183aff92d,GCP,2,1,8,76.26,56,10.16,940,optimal
a29d73e9-ca5b-4d2c-8691-f39b73831d15,AWS,1,1,8,82.63,41,8.15,649,overutilized
232b29d0-70a7-4f31-ab9d-1783f0e71999,AWS,64,16,32,97.66,128,167.04,1755,overutilized
d4d5d0ea-4ac7-4c83-b98b-4ccc0cf21b63,AWS,1,1,8,41.58,131,8.14,903,underutilized
dd13fb8c-bdc7-4de1-8e1a-0fbce3d791a9,AWS,8,1,8,84.83,89,22.23,942,overutilized
884075f4-f9c1-498d-9854-5a768a50c4e6,AWS,16,8,16,75.67,117,52.61,1090,optimal
a8fc18d2-0800-4249-a790-f60e7f5402e7,GCP,16,8,16,80.76,126,52.97,843,overutilized
653a345e-55eb-4ef4-a862-2d0f0d603ad0,GCP,64,16,32,90.1,111,167.24,1208,overutilized
8fa0c69d-f809-4dc3-8c63-b992356df3d3,AWS,64,16,32,45.96,47,167.2,1337,underutilized
a6c1d32a-1601-442d-8b55-31b76a2125b5,On-prem,64,16,32,60.03,102,133.38,1213,optimal
034a8d9a-489a-46eb-b82e-b108719c3172,AWS,16,8,16,73.47,65,52.9,804,optimal
1bcba586-0fdb-4435-8fe4-e34db0e596bb,AWS,8,2,8,61.44,84,24.27,934,optimal
48cd9749-2eda-4c00-a01d-21b30cf5ef74,On-prem,16,4,16,82.77,122,35.75,1150,overutilized
86491f9d-092f-472e-9549-9fa785893d5c,GCP,1,1,8,89.86,136,8.14,746,overutilized
0edfb715-f8a4-4aca-9cb7-b0e5d3ec7f16,AWS,2,1,8,60.9,51,10.19,727,optimal
a2ee9161-a2ce-4e93-8535-e80ce8099b12,GCP,64,16,32,84.39,82,166.4,1561,overutilized
913d0ef0-6131-4067-b211-7f0cc6a001ef,AWS,8,2,8,63.29,119,24.39,893,optimal
e105317f-843e-46ad-add3-6d30530c9b0b,On-prem,16,8,16,97.13,236,42.42,1113,overutilized
77ed1ab7-8fd7-4ffc-be8c-1ef1af2836cd,GCP,1,1,8,55.84,135,8.12,729,underutilized
276350f0-97e0-4efb-993c-a8716afee901,GCP,2,1,8,52.53,114,10.16,785,underutilized
369ba854-87ba-43b7-8960-95ecc2836d8d,AWS,1,1,8,59.59,97,8.1,828,underutilized
92405886-f81d-419b-817e-3c06aeaa4deb,AWS,64,16,32,79.22,116,166.19,1725,overutilized
c0bdee9a-b19b-4568-8626-3e364c9afa6d,GCP,16,4,16,53.54,56,44.46,951,underutilized
0a6ec487-4a5b-46a2-a9e9-522c80dc8527,On-prem,1,1,8,65.12,214,6.48,737,optimal
8ff7e1e6-b21f-4c2c-8e28-db8583a7d337,AWS,2,1,8,57.65,66,10.18,785,underutilized
a1296306-53ca-4344-a216-4b617602fa70,GCP,16,4,16,73.89,78,44.52,950,optimal
84ab45bc-a4cb-424d-8074-129358c5ae98,GCP,4,1,8,66.21,72,14.26,948,optimal
b27e32fd-d30f-405a-a0b7-1e6204c1d8bf,GCP,8,1,8,61.64,124,22.24,842,optimal
87158bf8-532b-423b-83f2-43623f2b655c,AWS,8,1,8,63.55,101,22.25,973,optimal
6031665c-415d-459f-aedc-6fee32124083,AWS,16,8,16,82.28,43,52.95,1079,overutilized
d30d4d7a-8868-4026-b9aa-1bd8988c80a4,AWS,64,16,32,80.7,61,165.8,1353,overutilized
64f70d30-f293-4b11-9b42-adc659aea9de,On-prem,16,4,16,64.88,188,35.75,926,optimal
3fe81dce-6208-489a-b888-a424cf777a93,On-prem,8,1,8,97.49,96,17.81,814,overutilized
1919c970-906a-4009-900c-e29fa5b50aba,AWS,2,1,8,97.01,126,10.15,798,overutilized
6e812936-0a8a-40bf-8d9a-b2679db7db67,GCP,1,1,8,93.53,90,8.08,855,overutilized
f439c793-957c-4b30-90d9-6f40a3f8be08,GCP,64,16,32,51.87,99,165.95,1274,underutilized
b44d86d4-5d17-43bb-9e77-0deac21ebbde,AWS,4,1,8,72.43,99,14.18,684,optimal
